Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;Location
Pristurus;celerrimus;Pristurus_celerrimus;Pristurus celerrimus;Hajars;1;0;1;0;Arabia
Pristurus;collaris;Pristurus_collaris;Pristurus collaris;Genus Hajars;0;1;1;0;Arabia
Pristurus;crucifer;Pristurus_crucifer;Pristurus crucifer;Genus Hajars;0;1;1;0;Arabia
Pristurus;flavipunctatus;Pristurus_flavipunctatus;Pristurus flavipunctatus;Genus Hajars;0;1;1;0;Arabia
Pristurus;gallagheri;Pristurus_gallagheri;Pristurus gallagheri;Hajars;1;0;1;0;Arabia
Pristurus;guichardi;Pristurus_guichardi;Pristurus guichardi;Genus Hajars;0;1;0;1;No Arabia
Pristurus;insignis;Pristurus_insignis;Pristurus insignis;Genus Hajars;0;1;0;1;No Arabia
Pristurus;insignoides;Pristurus_insignoides;Pristurus insignoides;Genus Hajars;0;1;0;1;No Arabia
Pristurus;masirahensis;Pristurus_masirahensis;Pristurus masirahensis;Genus Hajars;0;1;1;0;Arabia
Pristurus;minimus;Pristurus_minimus;Pristurus minimus;Genus Hajars;0;1;1;0;Arabia
Pristurus;obsti;Pristurus_obsti;Pristurus obsti;Genus Hajars;0;1;0;1;No Arabia
Pristurus;ornithocephalus;Pristurus_ornithocephalus;Pristurus ornithocephalus;Genus Hajars;0;1;1;0;Arabia
Pristurus;phillipsii;Pristurus_phillipsii;Pristurus phillipsii;Genus Hajars;0;1;0;1;No Arabia
Pristurus;popovi;Pristurus_popovi;Pristurus popovi;Genus Hajars;0;1;1;0;Arabia
Pristurus;rupestris;Pristurus_rupestris;Pristurus rupestris;Hajars;1;0;1;0;Arabia
Pristurus;samhaensis;Pristurus_samhaensis;Pristurus samhaensis;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sokotranus;Pristurus_sokotranus;Pristurus sokotranus;Genus Hajars;0;1;0;1;No Arabia
Pristurus;somalicus;Pristurus_somalicus;Pristurus somalicus;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp1;Pristurus_sp1;Pristurus sp1;Genus Hajars;0;1;1;0;Arabia
Pristurus;sp10;Pristurus_sp10;Pristurus sp10;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp11;Pristurus_sp11;Pristurus sp11;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp12;Pristurus_sp12;Pristurus sp12;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp2;Pristurus_sp2;Pristurus sp2;Hajars;1;0;1;0;Arabia
Pristurus;sp3;Pristurus_sp3;Pristurus sp3;Hajars;1;0;1;0;Arabia
Pristurus;sp4;Pristurus_sp4;Pristurus sp4;Hajars;1;0;1;0;Arabia
Pristurus;sp5;Pristurus_sp5;Pristurus sp5;Hajars;1;0;1;0;Arabia
Pristurus;sp6;Pristurus_sp6;Pristurus sp6;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp7;Pristurus_sp7;Pristurus sp7;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp8;Pristurus_sp8;Pristurus sp8;Genus Hajars;0;1;0;1;No Arabia
Pristurus;sp9;Pristurus_sp9;Pristurus sp9;Genus Hajars;0;1;1;0;Arabia
Psammodromus;algirus;Psammodromus_algirus;Psammodromus algirus;Backbone;0;1;0;1;No Arabia
Psammophis;schokari;Psammophis_schokari;Psammophis schokari;Backbone;0;1;1;0;Arabia
Pseudocerastes;persicus;Pseudocerastes_persicus;Pseudocerastes persicus;HAJARS_no_endem;0;1;1;0;Arabia
Pseudotrapelus;aqabensis;Pseudotrapelus_aqabensis;Pseudotrapelus aqabensis;Genus Hajars;0;1;1;0;Arabia
Pseudotrapelus;chlodnickii;Pseudotrapelus_chlodnickii;Pseudotrapelus chlodnickii;Genus Hajars;0;1;0;1;No Arabia
Pseudotrapelus;dhofarensis;Pseudotrapelus_dhofarensis;Pseudotrapelus dhofarensis;Genus Hajars;0;1;1;0;Arabia
Pseudotrapelus;jensvindumi;Pseudotrapelus_jensvindumi;Pseudotrapelus jensvindumi;Hajars;1;0;1;0;Arabia
Pseudotrapelus;neumanni;Pseudotrapelus_neumanni;Pseudotrapelus neumanni;Genus Hajars;0;1;1;0;Arabia
Pseudotrapelus;sinaitus;Pseudotrapelus_sinaitus;Pseudotrapelus sinaitus;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;ananjevae;Ptyodactylus_ananjevae;Ptyodactylus ananjevae;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;dhofarensis;Ptyodactylus_dhofarensis;Ptyodactylus dhofarensis;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;guttatus;Ptyodactylus_guttatus;Ptyodactylus guttatus;Genus Hajars;0;1;0;1;No Arabia
Ptyodactylus;hasselquistii;Ptyodactylus_hasselquistii;Ptyodactylus hasselquistii;Genus Hajars;0;1;0;1;No Arabia
Ptyodactylus;orlovi;Ptyodactylus_orlovi;Ptyodactylus orlovi;Hajars;1;0;1;0;Arabia
Ptyodactylus;oudrii;Ptyodactylus_oudrii;Ptyodactylus oudrii;Genus Hajars;0;1;0;1;No Arabia
Ptyodactylus;puiseuxi;Ptyodactylus_puiseuxi;Ptyodactylus puiseuxi;Genus Hajars;0;1;0;1;No Arabia
Ptyodactylus;ragazzii;Ptyodactylus_ragazzii;Ptyodactylus ragazzii;Genus Hajars;0;1;0;1;No Arabia
Ptyodactylus;ruusaljibalicus;Ptyodactylus_ruusaljibalicus;Ptyodactylus ruusaljibalicus;Hajars;1;0;1;0;Arabia
Ptyodactylus;siphonorhina;Ptyodactylus_siphonorhina;Ptyodactylus siphonorhina;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;sp1;Ptyodactylus_sp1;Ptyodactylus sp. 1;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;sp2;Ptyodactylus_sp2;Ptyodactylus sp. 2;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;sp3;Ptyodactylus_sp3;Ptyodactylus sp. 3;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;sp4;Ptyodactylus_sp4;Ptyodactylus sp. 4;Genus Hajars;0;1;1;0;Arabia
Ptyodactylus;sp5;Ptyodactylus_sp5;Ptyodactylus sp. 5;Genus Hajars;0;1;1;0;Arabia
